City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Cape Town,ZA,77.41,light rain,-33.9258,18.4232,Townhouse Hotel
13,Vaini,TO,77.16,light rain,-21.2,-175.2,Keleti International Resort
20,Bengkulu,ID,75.11,overcast clouds,-3.8004,102.2655,Dena Hotel
21,Porbandar,IN,78.1,overcast clouds,21.6422,69.6093,Toran Tourist Bungalow
22,Kapaa,US,79.12,clear sky,22.0752,-159.319,Pono Kai Resort
26,Sinnamary,GF,78.21,broken clouds,5.3833,-52.95,Hôtel du fleuve
33,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
46,Mahebourg,MU,76.24,few clouds,-20.4081,57.7,Grand Bel Air
47,Cayenne,GF,80.64,broken clouds,4.9333,-52.3333,Central Hôtel
56,Hilo,US,84.27,broken clouds,19.7297,-155.09,Dolphin Bay Hotel
58,Kavieng,PG,80.92,light rain,-2.5744,150.7967,Kavieng Hotel
59,Bata,GQ,79.93,overcast clouds,1.8639,9.7658,Hotel Plaza ****
60,Tres Picos,MX,87.78,clear sky,15.8667,-93.5333,Hotel Tres Picos
74,Tequila,MX,81.52,clear sky,20.8833,-103.8333,Real Tequila
76,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
78,Omboue,GA,77.92,broken clouds,-1.5746,9.2618,Georges Faustin Aurat
81,Quelimane,MZ,78.75,light rain,-17.8786,36.8883,Mabassa
88,Camopi,GF,75.56,overcast clouds,3.1655,-52.3158,Chez Lucia
89,Cockburn Town,TC,78.01,clear sky,21.4612,-71.1419,The Salt Raker Inn
101,Nabire,ID,75.74,overcast clouds,-3.3667,135.4833,Hotel Anggrek
103,Isangel,VU,80.71,clear sky,-19.55,169.2667,Tanna Lodge
104,Koungheul,SN,82.27,clear sky,13.9833,-14.8,Auberge Keur Ghan
105,Mitsamiouli,KM,80.17,few clouds,-11.3847,43.2844,Hotel le Paradis
106,Hithadhoo,MV,81.27,overcast clouds,-0.6,73.0833,Pebbles Inn
113,Maragogi,BR,79.9,overcast clouds,-9.0122,-35.2225,Pousada Mariluz
118,Mayumba,GA,77.63,broken clouds,-3.432,10.6554,Résidence Hôtelière Fabso
122,Gizo,SB,82.27,broken clouds,-8.103,156.8419,Gizo Hotel
135,Atuona,PF,78.08,clear sky,-9.8,-139.0333,Pearl Resort
