City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,77.41,76,0,14.0,light rain
1,Tiznit,MA,29.5833,-9.5,58.23,81,78,10.56,light rain
2,Lebu,CL,-37.6167,-73.65,62.56,71,37,25.05,scattered clouds
3,Bluff,NZ,-46.6,168.3333,56.19,90,100,2.77,light rain
4,Rikitea,PF,-23.1203,-134.9692,74.17,75,96,7.99,overcast clouds
5,Thompson,CA,55.7435,-97.8558,21.36,86,100,9.22,light snow
6,Carnarvon,AU,-24.8667,113.6333,71.62,76,0,20.6,clear sky
7,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,84,20,5.75,few clouds
8,Northport,US,33.229,-87.5772,56.25,50,0,10.36,clear sky
9,Jamestown,US,42.097,-79.2353,38.79,72,100,17.27,snow
10,Khatanga,RU,71.9667,102.5,-24.14,100,100,4.43,overcast clouds
11,Fairbanks,US,64.8378,-147.7164,8.94,82,100,14.97,light snow
12,Bilibino,RU,68.0546,166.4372,-19.91,79,90,4.81,overcast clouds
13,Vaini,TO,-21.2,-175.2,77.16,83,20,9.22,light rain
14,Estacion Coahuila,MX,32.1939,-115.0017,61.97,21,41,5.19,scattered clouds
15,Port Alfred,ZA,-33.5906,26.891,69.19,95,13,3.27,few clouds
16,Ushuaia,AR,-54.8,-68.3,55.06,62,75,19.57,light rain
17,Nanortalik,GL,60.1432,-45.2371,21.83,80,76,4.88,broken clouds
18,Kyshtovka,RU,56.555,76.6271,-9.98,93,97,6.67,overcast clouds
19,Qaanaaq,GL,77.484,-69.3632,15.26,76,100,8.5,overcast clouds
20,Bengkulu,ID,-3.8004,102.2655,75.11,89,91,6.2,overcast clouds
21,Porbandar,IN,21.6422,69.6093,78.1,49,97,8.93,overcast clouds
22,Kapaa,US,22.0752,-159.319,79.12,74,0,1.01,clear sky
23,Niquelandia,BR,-14.4739,-48.4597,74.61,89,98,3.2,overcast clouds
24,Busselton,AU,-33.65,115.3333,56.08,82,0,13.4,clear sky
25,Kosel,PL,50.3356,18.1433,28.85,96,100,3.53,overcast clouds
26,Sinnamary,GF,5.3833,-52.95,78.21,87,63,9.78,broken clouds
27,Praia Da Vitoria,PT,38.7333,-27.0667,56.75,88,0,5.57,clear sky
28,Olafsvik,IS,64.8945,-23.7142,25.66,64,100,19.51,overcast clouds
29,Bredasdorp,ZA,-34.5322,20.0403,69.94,92,95,15.95,light rain
30,Kawalu,ID,-7.3817,108.2082,72.39,96,100,1.43,overcast clouds
31,Guaranda,EC,-1.6,-79.0,64.71,96,91,6.96,light rain
32,Hearst,CA,49.6835,-83.6665,28.65,81,100,14.07,overcast clouds
33,Avarua,CK,-21.2078,-159.775,78.85,89,75,18.41,light rain
34,Qasigiannguit,GL,68.8193,-51.1922,28.65,96,100,7.78,snow
35,Pontianak,ID,-0.0333,109.3333,73.38,100,75,3.44,moderate rain
36,Jalu,LY,29.0331,21.5482,69.67,37,0,8.34,clear sky
37,Medicine Hat,CA,50.0501,-110.6683,14.99,79,20,9.22,few clouds
38,Albany,US,42.6001,-73.9662,35.67,76,100,5.01,overcast clouds
39,Longyearbyen,SJ,78.2186,15.6401,4.84,66,40,11.5,scattered clouds
40,Swinoujscie,PL,53.9105,14.2471,24.94,93,100,6.91,light snow
41,Polessk,RU,54.862,21.1028,19.45,93,14,8.43,few clouds
